timestamp,ip_address,url,status_code
2023-07-01 08:30:15,192.168.1.1,/home,200
2023-07-01 08:45:30,192.168.1.2,/products,200
2023-07-01 09:15:45,192.168.1.1,/about,200
2023-07-01 10:00:00,192.168.1.3,/contact,404
2023-07-01 10:30:20,192.168.1.2,/products,200
2023-07-01 11:45:10,192.168.1.1,/home,200
2023-07-01 12:15:30,192.168.1.4,/services,200
2023-07-01 13:00:45,192.168.1.2,/about,200
2023-07-01 14:30:00,192.168.1.1,/products,200
2023-07-01 15:45:20,192.168.1.3,/home,200
2023-07-01 16:00:30,192.168.1.4,/contact,200
2023-07-01 17:15:45,192.168.1.1,/services,404
2023-07-01 18:30:00,192.168.1.2,/home,200
2023-07-01 19:45:15,192.168.1.3,/products,200
2023-07-01 20:00:30,192.168.1.1,/about,200
